ONLINE,,,,,,,,,,,,
Dataset,Strategy,Treino Inicial,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries/s,Query Rate,Number of Drifts
emotions,QBC,30%,10%,0.2512019230769231,0.15384615384615385,0.6350042318792318,41.965256690979004,0.390625,41,0.9769986706363577,0.0985576923076923,0
emotions,NoQuery,50%,0%,0.24074074074074073,0.21548821548821548,0.655081600031095,2.4726526737213135,0.0078125,0,0.0,0.0,0
emotions,FullSupervision,50%,100%,0.21492704826038161,0.24242424242424243,0.6933759188809693,34.49947547912598,0.2890625,297,8.608826536499109,1.0,0
emotions,Random,50%,10%,0.23288439955106618,0.22895622895622897,0.6643788777627161,5.068572282791138,0.00390625,21,4.143178557658019,0.0707070707070707,0
emotions,Uncertainty,50%,10%,0.23120089786756454,0.2255892255892256,0.6704069312655171,5.774380445480347,0,29,5.022183812412036,0.09764309764309764,0
emotions,QBC,50%,10%,0.23007856341189672,0.23905723905723905,0.6655901244285082,28.51775026321411,292.15625,29,1.0169105112547379,0.09764309764309764,0
emotions,NoQuery,80%,0%,0.211484593837535,0.2773109243697479,0.6750936738331696,0.8137223720550537,0,0,0.0,0.0,0
emotions,FullSupervision,80%,100%,0.21288515406162467,0.226890756302521,0.6929029187432547,12.946532011032104,0.046875,119,9.191650698318032,1.0,0
emotions,Random,80%,10%,0.21148459383753498,0.2773109243697479,0.680414286926892,1.9007596969604492,0,11,5.787159743333345,0.09243697478991597,0
emotions,Uncertainty,80%,10%,0.22268907563025203,0.24369747899159663,0.6649462815429203,2.0260837078094482,0,11,5.4291932547510235,0.09243697478991597,0
emotions,QBC,80%,10%,0.2198879551820728,0.25210084033613445,0.6686747426243224,10.702691316604614,0.12109375,11,1.0277788711830012,0.09243697478991597,0
scene,NoQuery,0%,0%,0.1789918293865116,0.0,0.45050672911080053,18.410679578781128,0,0,0.0,0.0,0
scene,FullSupervision,0%,100%,0.050062318238471126,0.7781470710427919,0.9019908114320244,470.30271196365356,5974.37109375,2407,5.117980268389395,1.0,0
scene,Random,0%,10%,0.1693671236670821,0.3298712089738263,0.663797299962651,128.3789439201355,0,240,1.8694654487055442,0.09970918155380142,7
scene,Uncertainty,0%,10%,0.14333194848358954,0.3531366846697133,0.6519061617420571,153.5311782360077,0,240,1.5632004050087642,0.09970918155380142,5
scene,QBC,0%,10%,0.1789918293865116,0.0,0.45050672911080053,72.26225924491882,0,0,0.0,0.0,0
scene,NoQuery,5%,0%,0.3290336685614342,0.10843900306077832,0.4693167385012597,43.296146631240845,0.47265625,0,0.0,0.0,6
scene,FullSupervision,5%,100%,0.051523101588689696,0.7726278968080454,0.8985389373780278,442.60889410972595,1378.859375,2287,5.167090021089897,1.0,0
scene,Random,5%,10%,0.1515085264538697,0.3038915609969392,0.6328484892651924,123.36221957206726,441.98828125,228,1.848215772956356,0.09969392216878006,2
scene,Uncertainty,5%,10%,0.1825535636204635,0.359860078705728,0.6543957281604855,144.57738661766052,702.94140625,228,1.577010107417097,0.09969392216878006,6
scene,QBC,5%,10%,0.21716950881795655,0.2881504153913424,0.6016676383423213,482.45500469207764,1037.26171875,120,0.2487278582105058,0.052470485351989504,5
scene,NoQuery,10%,0%,0.2795723734810029,0.14490078449469312,0.48815520222995995,41.19412636756897,0,0,0.0,0.0,6
scene,FullSupervision,10%,100%,0.051299800030764495,0.774803876326719,0.8976419545178198,417.0275778770447,248.7734375,2167,5.19629903382292,1.0,0
scene,Random,10%,10%,0.15259190893708657,0.32256575911398244,0.6434822381638255,104.65271425247192,40.125,216,2.0639694014902057,0.09967697277341947,3
scene,Uncertainty,10%,10%,0.17166589755422243,0.34240886017535765,0.634719250651415,125.31999850273132,8.1953125,216,1.7235876362964713,0.09967697277341947,4
scene,QBC,10%,10%,0.1855099215505307,0.3304107060452238,0.6200274549836154,613.215448141098,2321.29296875,216,0.35224161533239684,0.09967697277341947,4
scene,NoQuery,20%,0%,0.2916233991000346,0.14589823468328142,0.48960949054407005,32.266196489334106,0,0,0.0,0.0,6
scene,FullSupervision,20%,100%,0.05347871235721703,0.7611630321910696,0.8913197394505806,366.58508372306824,0,1926,5.253896259060477,1.0,0
