POOL,,,,,,,,,,,,
Dataset,Strategy,Treino Inicial,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries/s,Query Rate,Number of Drifts
emotions,PoolQBC,10%,10%,0.2609238451935081,0.15917602996254682,0.6518509060643892,44.303197622299194,6.25390625,53,1.196301911474747,0.09925093632958802,0
emotions,PoolRandom,20%,10%,0.252280701754386,0.17684210526315788,0.6570423786739576,8.998166799545288,0,47,5.223286147837923,0.09894736842105263,0
emotions,PoolUncertainty,20%,10%,0.24105263157894738,0.17894736842105263,0.6762404496088706,9.983123064041138,0,47,4.707945569587574,0.09894736842105263,0
emotions,PoolQBC,20%,10%,0.24842105263157896,0.1831578947368421,0.6613418394471027,44.885125398635864,0.171875,47,1.0471174934364427,0.09894736842105263,0
emotions,PoolRandom,30%,10%,0.24759615384615385,0.16826923076923078,0.6439978424353423,7.348217248916626,0,41,5.579584627284227,0.0985576923076923,0
emotions,PoolUncertainty,30%,10%,0.2423878205128205,0.15144230769230768,0.6459765928515928,10.587059020996094,0,41,3.8726524447147623,0.0985576923076923,0
emotions,PoolQBC,30%,10%,0.2520032051282051,0.1466346153846154,0.6287660256410257,44.26181602478027,0.4375,41,0.9263063218428697,0.0985576923076923,0
emotions,PoolRandom,50%,10%,0.23625140291806956,0.21548821548821548,0.6583255595881858,5.150022268295288,0,29,5.631043612865641,0.09764309764309764,0
emotions,PoolUncertainty,50%,10%,0.234006734006734,0.24242424242424243,0.6612790968851574,5.677161931991577,0.02734375,29,5.10818615840092,0.09764309764309764,0
emotions,PoolQBC,50%,10%,0.2356902356902357,0.23232323232323232,0.65648038829857,31.539191961288452,0.23828125,29,0.9194908999442635,0.09764309764309764,0
emotions,PoolRandom,80%,10%,0.21288515406162464,0.2689075630252101,0.6746635017643422,1.898951768875122,0,11,5.792669503405053,0.09243697478991597,0
emotions,PoolUncertainty,80%,10%,0.21428571428571425,0.2773109243697479,0.6701917130488559,2.4937336444854736,0,11,4.411056499287679,0.09243697478991597,0
emotions,PoolQBC,80%,10%,0.21148459383753507,0.2773109243697479,0.677271211514909,11.480012893676758,0.01171875,11,0.9581870771294037,0.09243697478991597,0
scene,PoolRandom,0%,10%,0.20301897244149014,0.211882010801828,0.5706812171810094,122.06455755233765,0,240,1.9661726942900288,0.1,6
scene,PoolUncertainty,0%,10%,0.20828140146794075,0.1695056086414624,0.5568557406218395,167.66833233833313,2315.65625,240,1.4313973107080882,0.1,4
scene,PoolQBC,0%,10%,0.19027835479850436,0.21645201495637723,0.5755906593983038,661.081550359726,3521.11328125,240,0.3630414430253039,0.1,5
scene,PoolRandom,5%,10%,0.1954525579361609,0.17490161783996502,0.5537615993781276,119.44565010070801,2539.82421875,228,1.9088179419490516,0.09969392216878006,2
scene,PoolUncertainty,5%,10%,0.18299081766506337,0.27590730214254483,0.6068935970991065,157.34063744544983,82.01953125,228,1.449085269398682,0.09969392216878006,7
scene,PoolQBC,5%,10%,0.18823786620026237,0.20507214691735898,0.5781948253854681,655.6346015930176,2603.5546875,228,0.3477546783620338,0.09969392216878006,2
scene,PoolRandom,10%,10%,0.17697277341947393,0.233502538071066,0.5819196813543837,108.86918306350708,0,216,1.984032523455236,0.09967697277341947,5
scene,PoolUncertainty,10%,10%,0.1598984771573604,0.28564836179049374,0.6151383470142122,138.89475989341736,0.02734375,216,1.5551342625578555,0.09967697277341947,5
scene,PoolQBC,10%,10%,0.1782802645746808,0.20996769727734194,0.568327599949658,584.6185781955719,805.640625,216,0.3694716658965664,0.09967697277341947,3
scene,PoolRandom,20%,10%,0.19254067151263413,0.15005192107995846,0.5323064497519326,89.84120583534241,0.546875,192,2.1371039960426446,0.09968847352024922,3
scene,PoolUncertainty,20%,10%,0.19591554170993422,0.16978193146417445,0.5398875829950597,127.62120366096497,0.75390625,192,1.5044521951858565,0.09968847352024922,3
scene,PoolQBC,20%,10%,0.19695396330910347,0.13395638629283488,0.516642410606585,520.6420996189117,388.30859375,192,0.3687754027969232,0.09968847352024922,3
scene,PoolRandom,30%,10%,0.19505440158259146,0.15489614243323443,0.5388212990438509,95.59055256843567,0,168,1.7574958558768095,0.09970326409495549,1
scene,PoolUncertainty,30%,10%,0.18971315529179028,0.21008902077151334,0.5805173395677846,121.20978546142578,0.0078125,168,1.3860267086560012,0.09970326409495549,2
scene,PoolQBC,30%,10%,0.21810089020771514,0.13887240356083086,0.5216865989269549,516.4810872077942,320.15625,168,0.3252781256875125,0.09970326409495549,3
scene,PoolRandom,50%,10%,0.23089700996677742,0.10382059800664452,0.5008578307996912,72.74741792678833,815.19921875,120,1.6495430823505763,0.1,1
scene,PoolUncertainty,50%,10%,0.2378183831672204,0.1461794019933555,0.5323693748112353,93.29747772216797,442.13671875,120,1.2862084048761735,0.1,0
scene,PoolQBC,50%,10%,0.23283499446290143,0.1893687707641196,0.5445314859559046,437.27025866508484,33.82421875,120,0.2744298237120918,0.1,3
scene,PoolRandom,80%,10%,0.15733056708160442,0.19294605809128632,0.5717674672031517,23.936081409454346,254.90625,48,2.0053407731576653,0.0995850622406639,0
scene,PoolUncertainty,80%,10%,0.16182572614107885,0.19294605809128632,0.5763066348128589,29.93541121482849,0.1171875,48,1.603452167586167,0.0995850622406639,0
scene,PoolQBC,80%,10%,0.16009681881051174,0.1887966804979253,0.5782136719896056,134.8018443584442,0.328125,48,0.35607821412566004,0.0995850622406639,0
