Dataset,Strategy,Budget,Train Fraction,Initial Train Size,Stream Size,Test Size,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
birds,QBC,0.1,0.1,32,290,323,0.06533575317604355,0.43448275862068964,0.7125631766022232,61.54080581665039,33.734375,29,0.47123204864103035,0.1,[],0
birds,NoQuery,,0.2,64,258,323,0.06221950224398204,0.4496124031007752,0.718557844534881,8.110904455184937,0,0,0.0,0.0,[],0
birds,FullSupervision,,0.2,64,258,323,0.06487148102815177,0.43410852713178294,0.7342320520709851,136.9517786502838,550.66796875,258,1.8838747663060404,1.0,[],0
birds,Random,0.1,0.061117911056711535,0.44573643410852715,0.7246257607381895,14.98495774269104,0.03046875,24.8,1.657493433579096,0.09612403100775194,0.0,[]
birds,Uncertainty,0.1,0.2,64,258,323,0.060995512035903705,0.44573643410852715,0.7200196953621063,22.90014934539795,0,25,1.0916959371282022,0.09689922480620156,[],0
birds,QBC,0.1,0.2,64,258,323,0.05997552019583843,0.44573643410852715,0.7266791949917694,54.39766502380371,0.19921875,25,0.4595785497237855,0.09689922480620156,[],0
birds,NoQuery,,0.3,96,226,323,0.05938518863530508,0.4646017699115044,0.734280193653567,6.934763431549072,0,0,0.0,0.0,[],0
birds,FullSupervision,,0.3,96,226,323,0.06427573358174195,0.4469026548672566,0.7420058293669851,128.845032453537,416.3984375,226,1.754045116807264,1.0,[],0
birds,Random,0.1,0.05873311597578016,0.4619469026548673,0.7365092729216233,13.479892301559449,0.02734375,21.8,1.6191451633612204,0.09646017699115043,0.0,[]
birds,Uncertainty,0.1,0.3,96,226,323,0.058220773171867725,0.4690265486725664,0.7407664341544926,20.73235559463501,0,22,1.061143288787359,0.09734513274336283,[],0
birds,QBC,0.1,0.3,96,226,323,0.0584536562645552,0.4646017699115044,0.7420469726971718,52.69624733924866,56.87890625,22,0.41748703391283415,0.09734513274336283,[],0
birds,NoQuery,,0.5,161,161,323,0.06145799280810723,0.4968944099378882,0.7640409353544035,3.608518362045288,0,0,0.0,0.0,[],0
birds,FullSupervision,,0.5,161,161,323,0.06538084341288002,0.45962732919254656,0.7579294765416651,97.82220101356506,245.94921875,161,1.6458431555600965,1.0,[],0
birds,Random,0.1,0.07734553775743706,0.44099378881987583,0.7397720688230328,33.748300075531006,44.30546875,15.4,0.45772650447777147,0.09565217391304348,0.0,[]
birds,Uncertainty,0.1,0.5,161,161,323,0.07780320366132722,0.453416149068323,0.758266206138977,33.255733013153076,24.0234375,16,0.48112005210264924,0.09937888198757763,[],0
birds,QBC,0.1,0.5,161,161,323,0.08368747956848643,0.4472049689440994,0.7419439724752295,126.89254021644592,1353.609375,16,0.12609094256217213,0.09937888198757763,[],0
birds,NoQuery,,0.8,257,65,323,0.05263157894736842,0.5230769230769231,0.7906808917245349,1.5564966201782227,0,0,0.0,0.0,[],0
birds,FullSupervision,,0.8,257,65,323,0.05344129554655871,0.5230769230769231,0.7887775773496836,23.295336723327637,0.0078125,65,2.7902580148116027,1.0,[],0
birds,Random,0.1,0.051336032388663966,0.5230769230769231,0.7907175201288104,3.6109540939331053,8.81015625,5.2,1.4543304649205282,0.08,0.0,[]
birds,Uncertainty,0.1,0.8,257,65,323,0.05020242914979757,0.5076923076923077,0.7875854868644243,6.034923791885376,0,6,0.9942130517153613,0.09230769230769231,[],0
birds,QBC,0.1,0.8,257,65,323,0.05101214574898786,0.5230769230769231,0.7950206078289569,12.63395619392395,48.97265625,5,0.39575885203754707,0.07692307692307693,[],0
yeast,NoQuery,,0.05,10,196,2158,0.22776967930029152,0.015306122448979591,0.5700018503344755,2.7137765884399414,0,0,0.0,0.0,[],0
yeast,FullSupervision,,0.05,10,196,2158,0.17419825072886294,0.10204081632653061,0.6522802575915171,25.165994882583618,2.4375,196,7.788287366125302,1.0,[],0
yeast,Random,0.1,0.22514577259475219,0.04591836734693878,0.6117009843288506,4.479583740234375,0.0109375,18.8,4.24022013962624,0.09591836734693877,0.0,[]
yeast,Uncertainty,0.1,0.05,10,196,2158,0.25838192419825073,0.04591836734693878,0.603180398889424,6.216019153594971,0,19,3.056618638153897,0.09693877551020408,[],0
yeast,QBC,0.1,0.05,10,196,2158,0.25838192419825073,0.04591836734693878,0.603180398889424,13.090948343276978,0,19,1.451384536992516,0.09693877551020408,[],0
yeast,NoQuery,,0.1,20,186,2158,0.25345622119815664,0.07526881720430108,0.5999582559789617,2.3853187561035156,0,0,0.0,0.0,[],0
yeast,FullSupervision,,0.1,20,186,2158,0.17434715821812594,0.10215053763440861,0.6487549574152389,23.51713466644287,0.0234375,186,7.909126797892075,1.0,[],0
yeast,Random,0.1,0.23778801843317968,0.08064516129032258,0.6205109568628031,3.5324108600616455,0.0,17.8,5.0537854915458995,0.0956989247311828,0.0,[]
yeast,Uncertainty,0.1,0.1,20,186,2158,0.2546082949308755,0.08602150537634409,0.6122445015594791,5.339693307876587,0,18,3.370980122294324,0.0967741935483871,[],0
yeast,QBC,0.1,0.1,20,186,2158,0.2603686635944701,0.08602150537634409,0.6043481449365212,12.947419881820679,0,18,1.390238376780658,0.0967741935483871,[],0
yeast,NoQuery,,0.2,41,165,2158,0.27012987012987005,0.06060606060606061,0.581385520740689,1.6554031372070312,0,0,0.0,0.0,[],0
yeast,FullSupervision,,0.2,41,165,2158,0.17316017316017313,0.08484848484848485,0.6363758792297035,21.959331035614014,0,165,7.513890096761155,1.0,[],0
yeast,Random,0.1,0.2437229437229437,0.05575757575757575,0.5999181236729746,3.1981194496154783,0.0,15.4,4.834817410552731,0.09333333333333335,0.0,[]
yeast,Uncertainty,0.1,0.2,41,165,2158,0.26190476190476186,0.06060606060606061,0.5883950828082303,4.072294473648071,0,16,3.9289889529198923,0.09696969696969697,[],0
yeast,QBC,0.1,0.2,41,165,2158,0.26623376623376616,0.06060606060606061,0.5895880641636831,10.460428714752197,0,16,1.5295740199859515,0.09696969696969697,[],0
yeast,NoQuery,,0.3,61,145,2158,0.27192118226600986,0.06206896551724138,0.5702735704198657,1.190748929977417,0,0,0.0,0.0,[],0
yeast,FullSupervision,,0.3,61,145,2158,0.167487684729064,0.0896551724137931,0.6271379168218906,20.745275020599365,0,145,6.98954339511141,1.0,[],0
yeast,Random,0.1,0.23339901477832506,0.05655172413793104,0.5859167667908455,2.5114025115966796,0.0,13.8,5.527523197638618,0.09517241379310344,0.0,[]
yeast,Uncertainty,0.1,0.3,61,145,2158,0.20985221674876844,0.07586206896551724,0.6002142002825345,3.3455731868743896,0,14,4.184634207054827,0.09655172413793103,[],0
yeast,QBC,0.1,0.3,61,145,2158,0.25960591133004923,0.06206896551724138,0.5801876344457423,9.024488925933838,0,14,1.5513343874541135,0.09655172413793103,[],0
yeast,NoQuery,,0.5,103,103,2158,0.25312066574202496,0.009708737864077669,0.5278281693275805,0.8406367301940918,0,0,0.0,0.0,[],0
yeast,FullSupervision,,0.5,103,103,2158,0.16712898751733704,0.06796116504854369,0.5762378479968624,16.22970414161682,0,103,6.346388024158956,1.0,[],0
yeast,Random,0.1,0.2467406380027739,0.001941747572815534,0.5320980006295818,1.510450839996338,0.0,9.0,5.939870983030966,0.08737864077669902,0.0,[]
yeast,Uncertainty,0.1,0.5,103,103,2158,0.24757281553398056,0.0,0.527062757607291,2.2112715244293213,0,10,4.52228497926358,0.0970873786407767,[],0
