Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
flags,ClusterHardness_0.7_per_label_K5_30%,0.3,0.3172268907563025,0.08088235294117647,0.6584924879042525,1.107238531112671,0.03515625,3,2.709443282275664,0.022058823529411766,[],0
flags,ClusterHardness_0.9_per_label_K5_30%,0.3,0.31827731092436967,0.08088235294117647,0.6574916709107885,0.9899485111236572,0.38671875,2,2.020307094285002,0.014705882352941176,[],0
emotions,NoQuery,,0.25841346153846156,0.13701923076923078,0.6323673722111223,1.5850236415863037,0.01953125,0,0.0,0.0,[],0
emotions,FullSupervision,,0.21834935897435898,0.23076923076923078,0.6804037108724609,33.19561815261841,160.66796875,416,12.531774467564379,1.0,[],0
emotions,ClusterHardness_0.05_global_K7_30%,0.3,0.2411858974358974,0.17548076923076922,0.6533216783216784,8.615562677383423,20.01953125,87,10.098005581037942,0.2091346153846154,[],0
emotions,ClusterHardness_0.1_global_K7_30%,0.3,0.2411858974358974,0.17548076923076922,0.6533216783216784,9.8614182472229,20.1171875,87,8.822260431404002,0.2091346153846154,[],0
emotions,ClusterHardness_0.3_global_K7_30%,0.3,0.2516025641025641,0.16346153846153846,0.6375580149017649,7.345747947692871,0,53,7.215058340879511,0.12740384615384615,[],0
emotions,ClusterHardness_0.5_global_K7_30%,0.3,0.25240384615384615,0.15144230769230768,0.6309219426406926,8.99001693725586,0,43,4.783083313425375,0.10336538461538461,[],0
emotions,ClusterHardness_0.7_global_K7_30%,0.3,0.2544070512820513,0.17307692307692307,0.6370096049783549,4.539514541625977,2.10546875,28,6.168060426560695,0.0673076923076923,[],0
emotions,ClusterHardness_0.9_global_K7_30%,0.3,0.23998397435897434,0.1778846153846154,0.649865845959596,7.96295166015625,0.21875,66,8.288383857739623,0.15865384615384615,[],0
emotions,ClusterHardness_0.05_per_label_K7_30%,0.3,0.2299679487179487,0.19230769230769232,0.6697792658730157,12.908026933670044,0.08203125,123,9.528954396520485,0.2956730769230769,[],0
emotions,ClusterHardness_0.1_per_label_K7_30%,0.3,0.234375,0.18509615384615385,0.6603053196803196,10.264533519744873,0.01171875,90,8.768055540651298,0.21634615384615385,[],0
emotions,ClusterHardness_0.3_per_label_K7_30%,0.3,0.23517628205128205,0.20192307692307693,0.666078973110223,9.703575849533081,14.05859375,80,8.244383435602192,0.19230769230769232,[],0
emotions,ClusterHardness_0.5_per_label_K7_30%,0.3,0.2435897435897436,0.16826923076923078,0.6527620816683317,9.211541652679443,0.03515625,77,8.359078523799795,0.18509615384615385,[],0
emotions,ClusterHardness_0.7_per_label_K7_30%,0.3,0.24198717948717946,0.18028846153846154,0.650557602120102,9.666630268096924,0.2578125,79,8.172444565375187,0.18990384615384615,[],0
