Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Number of Drifts,Drift Points
scene,PoolClusterHardness_per_label_K6,0.3,0.17181008902077152,0.3252225519287834,0.636594880556305,121.05835890769958,56.04296875,505,4.171541763464967,0.2997032640949555,"[383, 959, 991, 1599]",4
scene,PoolClusterHardnessUncertainty_per_label_K6,0.3,0.17270029673590503,0.32344213649851633,0.6543690615352337,150.2389280796051,158.45703125,505,3.361312586924358,0.2997032640949555,"[1567, 1599]",2
birds,PoolRandom,0.3,0.06320447135537959,0.4619469026548673,0.7541957331072509,64.68572821617127,127.37265625,135.0,2.0884534869771274,0.29867256637168144,0.0,[]
birds,PoolUncertainty,0.3,0.05787144853283651,0.4778761061946903,0.7651059957675314,85.53198790550232,207.140625,135,1.578356861635802,0.29867256637168144,[],0
birds,PoolQBC,0.3,0.05950163018164881,0.46017699115044247,0.7526245355881004,272.20462250709534,1189.66015625,135,0.495950431541555,0.29867256637168144,[],0
birds,PoolClusterHardness_global_K5,0.3,0.05507685142058687,0.4889380530973451,0.7754138162613952,70.51512479782104,0.19921875,135,1.9144828912530205,0.29867256637168144,[],0
birds,PoolClusterHardnessUncertainty_global_K5,0.3,0.05542617605961807,0.4756637168141593,0.7654938630123783,84.17166543006897,0.22265625,135,1.6038651404867348,0.29867256637168144,[],0
birds,PoolClusterHardness_per_label_K5,0.3,0.05507685142058686,0.48451327433628316,0.7737873626570151,78.50913166999817,48.01171875,135,1.719545193385313,0.29867256637168144,[],0
birds,PoolClusterHardnessUncertainty_per_label_K5,0.3,0.05437820214252445,0.4889380530973451,0.7752640147214511,95.83680415153503,415.39453125,135,1.4086446349623782,0.29867256637168144,[],0
yeast,PoolRandom,0.3,0.20856973995271866,0.09657210401891253,0.707643609154125,116.62478919029236,256.4,507.0,4.350551085225588,0.299645390070922,0.0,[]
yeast,PoolUncertainty,0.3,0.2074045930428909,0.10106382978723404,0.7098988359044991,127.14319968223572,113.0234375,507,3.9876297062456056,0.299645390070922,[],0
yeast,PoolQBC,0.3,0.2058426207362377,0.10933806146572105,0.712369949056424,428.6828193664551,3104.48828125,507,1.182692604171282,0.299645390070922,[],0
yeast,PoolClusterHardness_global_K7,0.3,0.208628841607565,0.0851063829787234,0.7109556626248101,112.65665364265442,0.15234375,507,4.500399964019862,0.299645390070922,[],0
yeast,PoolClusterHardnessUncertainty_global_K7,0.3,0.20634920634920634,0.09810874704491726,0.714716791272893,139.74710941314697,0,507,3.627982017868507,0.299645390070922,[],0
yeast,PoolClusterHardness_per_label_K7,0.3,0.20736237757514348,0.09515366430260047,0.7113546552974545,128.31293416023254,810.70703125,507,3.951277424354405,0.299645390070922,[],0
yeast,PoolClusterHardnessUncertainty_per_label_K7,0.3,0.210064167510976,0.08747044917257683,0.7042230862517752,141.17575883865356,310.5546875,507,3.5912681055919684,0.299645390070922,[],0
water-quality,PoolRandom,0.3,0.32088948787061994,0.002964959568733154,0.5962364445515912,13.677342510223388,0.00546875,222.0,16.241868652457818,0.2991913746630728,0.0,[]
water-quality,PoolUncertainty,0.3,0.3159414709279938,0.0026954177897574125,0.6034174848733977,14.206748962402344,0,222,15.626375927913918,0.2991913746630728,[],0
water-quality,PoolQBC,0.3,0.32008086253369267,0.005390835579514825,0.6068434143529549,59.6957573890686,0.19921875,222,3.718857247310046,0.2991913746630728,[],0
water-quality,PoolClusterHardness_global_K8,0.3,0.32864844050827874,0.0013477088948787063,0.5900233505551431,13.662084817886353,0,222,16.249350151110054,0.2991913746630728,[],0
water-quality,PoolClusterHardnessUncertainty_global_K8,0.3,0.32778205621871387,0.0013477088948787063,0.5965684389904646,14.416601419448853,0,222,15.398913623325175,0.2991913746630728,[],0
water-quality,PoolClusterHardness_per_label_K8,0.3,0.32595302271852133,0.0013477088948787063,0.5904718700124634,15.523610591888428,0,222,14.300796756393899,0.2991913746630728,[],0
water-quality,PoolClusterHardnessUncertainty_per_label_K8,0.3,0.32325760492876393,0.004043126684636119,0.5966371932772556,16.32168960571289,0,222,13.601533012997375,0.2991913746630728,[],0
SynHPGrad,PoolRandom,0.3,0.2619228571428572,0.012365714285714285,0.48177813906728184,554.9798953533173,647.890625,10500.0,18.923718729513045,0.3,10.0,[]
SynHPGrad,PoolUncertainty,0.3,0.26206071428571426,0.012342857142857143,0.48548598132026705,596.8879630565643,834.609375,10500,17.59124098638418,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10943]",10
SynHPGrad,PoolQBC,0.3,0.26222142857142855,0.011114285714285714,0.4827780245151673,2123.351687192917,0,10500,4.945012200913858,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 11007]",10
SynHPGrad,PoolClusterHardness_global_K5,0.3,0.2622,0.011085714285714286,0.47531658119658116,741.9701187610626,1007.7421875,10500,14.151513294811439,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 11007]",10
SynHPGrad,PoolClusterHardnessUncertainty_global_K5,0.3,0.26156785714285713,0.012142857142857143,0.479880300017443,785.8105843067169,1019.73828125,10500,13.361998692424903,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10975]",10
SynHPGrad,PoolClusterHardness_per_label_K5,0.3,0.26162857142857143,0.01277142857142857,0.48408059115487684,837.6211576461792,1058.27734375,10500,12.535499974124724,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 11007]",10
SynHPGrad,PoolClusterHardnessUncertainty_per_label_K5,0.3,0.2618357142857143,0.011285714285714286,0.47889647178218603,854.5873925685883,1017.9140625,10500,12.286631058809215,0.3,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10975]",10
SynHPInc,PoolRandom,0.3,0.2404807142857143,0.00052,0.43102062813377096,556.4240109443665,863.73671875,10500.0,18.872887055353075,0.3,0.0,[]
SynHPInc,PoolUncertainty,0.3,0.24048571428571427,0.0005142857142857143,0.43101628276485415,600.9118390083313,774.6796875,10500,17.473445051986108,0.3,[],0
SynHPInc,PoolQBC,0.3,0.24047857142857143,0.0005142857142857143,0.43101862708719846,2195.2428114414215,16.1171875,10500,4.78306998445679,0.3,[],0
SynHPInc,PoolClusterHardness_global_K10,0.3,0.24047857142857143,0.0005142857142857143,0.43101862708719846,751.6840124130249,823.2421875,10500,13.968635525841949,0.3,[],0
SynHPInc,PoolClusterHardnessUncertainty_global_K10,0.3,0.24047857142857143,0.0005142857142857143,0.43101862708719846,793.34299492836,802.6875,10500,13.235132933830423,0.3,[],0
SynHPInc,PoolClusterHardness_per_label_K10,0.3,0.240475,0.0005142857142857143,0.43102909281194995,804.3100030422211,1113.8203125,10500,13.054667926899844,0.3,[],0
SynHPInc,PoolClusterHardnessUncertainty_per_label_K10,0.3,0.24048214285714287,0.0005142857142857143,0.4310173712002283,833.0013189315796,775.12890625,10500,12.605022058629466,0.3,[],0
